CountryCode,DisplayName,region,Level,ProjYear,EPL,LPL,UPL,p20,p80
BFA,Burkina Faso,SSA,National,2013,0.4555747,0.7701078,0.9245835,0.6453385,0.9964654
BFA,Burkina Faso,SSA,National,2015,0.4310664,0.762537,0.9223667,0.6688355,0.9971666
BFA,Burkina Faso,SSA,National,2018,0.3536475,0.7159381,0.9049718,0.6566373,
BFA,Burkina Faso,SSA,National,2019,0.3282468,0.7008788,0.8996324,0.6486181,
BFA,Burkina Faso,SSA,National,2020,0.3457571,0.7113092,0.9035251,0.6515532,
BFA,Burkina Faso,SSA,National,2021,0.3156584,0.6929859,0.8956535,0.6466545,
BGD,Bangladesh,SAS,National,1981,0.355774,0.811651,0.9674988,0.0416216,0.99999
BGD,Bangladesh,SAS,National,1984,0.3594052,0.8096424,0.9655069,0.07897907,0.9992691
BGD,Bangladesh,SAS,National,1987,0.388051,0.8066275,0.9594306,0.1300085,0.9974065
BGD,Bangladesh,SAS,National,1990,0.4075017,0.8160626,0.9627786,0.1431226,0.9976893
BGD,Bangladesh,SAS,National,1993,0.3811958,0.7797861,0.9514849,0.140738,0.9950692
BGD,Bangladesh,SAS,National,1996,0.3622434,0.7531883,0.9268568,0.1891652,0.9892148
BGD,Bangladesh,SAS,National,1999,0.3648198,0.7417084,0.9223255,0.2061733,0.9899727
BGD,Bangladesh,SAS,National,2002,0.3336706,0.7151468,0.9133908,0.2274073,0.9909014
BGD,Bangladesh,SAS,National,2005,0.2511784,0.6576808,0.8915092,0.238591,0.9908623
BGD,Bangladesh,SAS,National,2008,0.2080001,0.6161352,0.8788495,0.241542,0.9933072
BGD,Bangladesh,SAS,National,2010,0.1917758,0.599611,0.8755114,0.2743475,0.9946965
BGD,Bangladesh,SAS,National,2011,0.1801637,0.582318,0.8682735,0.309507,0.9946273
BGD,Bangladesh,SAS,National,2012,0.1724059,0.5723149,0.8642471,0.3266454,0.9948067
BGD,Bangladesh,SAS,National,2013,0.1635203,0.5573187,0.85827,0.360731,0.9949238
