CountryCode,DisplayName,region,Level,ProjYear,variable,line,old.PovertyLine,old.value,PovertyLine,value,PovertyLine_2,value_2,diff,diff2
EGY,"Egypt, Arab Republic of",MNA,National,2018,HeadCount,LPL,3.2,0.2630573,3.642544,0.05679055,3.981504,0.08460786,-0.20626675,-0.17844944
EGY,"Egypt, Arab Republic of",MNA,National,2018,HeadCount,UPL,5.5,0.7057169,6.11676,0.3586853,5.939234,0.333358,-0.3470316,-0.3723589
ESP,Spain,OHI,National,2018,HeadCount,EPL,1.9,0.006780911,2.195249,0.006877568,2.308829,0.007140471,9.6657e-05,0.00035956
ESP,Spain,OHI,National,2018,HeadCount,LPL,3.2,0.01092378,3.642544,0.01092378,3.981504,0.01204996,0,0.00112618
ESP,Spain,OHI,National,2018,HeadCount,UPL,5.5,0.02145559,6.11676,0.0202142,5.939234,0.01941694,-0.00124139,-0.00203865
EST,Estonia,ECA,National,2018,HeadCount,EPL,1.9,0.00268706,2.195249,0.00268706,2.308829,0.003218222,0,0.000531162
EST,Estonia,ECA,National,2018,HeadCount,LPL,3.2,0.005317482,3.642544,0.005714984,3.981504,0.00586382,0.000397502,0.000546338
EST,Estonia,ECA,National,2018,HeadCount,UPL,5.5,0.009805772,6.11676,0.009805772,5.939234,0.009576397,0,-0.000229375
ETH,Ethiopia,SSA,National,2018,HeadCount,EPL,1.9,0.2231319,2.195249,0.2150019,2.308829,0.2442242,-0.00813,0.0210923
ETH,Ethiopia,SSA,National,2018,HeadCount,LPL,3.2,0.5770096,3.642544,0.5502602,3.981504,0.6296655,-0.0267494,0.0526559
ETH,Ethiopia,SSA,National,2018,HeadCount,UPL,5.5,0.871964,6.11676,0.8571108,5.939234,0.8476309,-0.0148532,-0.0243331
FIN,Finland,OHI,National,2018,HeadCount,EPL,1.9,0.0006577773,2.195249,0.0006577773,2.308829,0.0006577773,0,0
FIN,Finland,OHI,National,2018,HeadCount,LPL,3.2,0.0008540169,3.642544,0.0008540169,3.981504,0.000872664,0,1.86471e-05
FIN,Finland,OHI,National,2018,HeadCount,UPL,5.5,0.00123269,6.11676,0.00123269,5.939234,0.001178947,0,-5.3743e-05
